County,Year,Number,Rate (per 10k)
Solano,2006,28.0,180.88
Solano,2006,25.0,77.63
Solano,2006,36.0,101.85
Solano,2006,22.0,53.02
Solano,2006,51.0,117.81
Solano,2006,35.0,25.87
Solano,2006,87.0,64.09
Solano,2007,49.0,288.4
Solano,2007,70.0,397.95
Solano,2007,106.0,177.72
Solano,2007,118.0,196.2
Solano,2007,17.0,108.01
Solano,2007,26.0,53.48
Solano,2007,28.0,59.12
Solano,2007,49.0,96.8
Solano,2007,38.0,33.35
Solano,2007,55.0,46.72
Solano,2007,12.0,79.0
Solano,2007,18.0,50.85
Solano,2007,30.0,74.66
Solano,2007,55.0,131.08
Solano,2007,66.0,53.17
Solano,2007,60.0,45.87
Solano,2008,39.0,232.14
Solano,2008,79.0,446.83
Solano,2008,77.0,130.48
Solano,2008,98.0,165.02
Solano,2008,14.0,91.03
Solano,2008,12.0,25.92
Solano,2008,14.0,28.32
Solano,2008,25.0,52.53
Solano,2008,52.0,100.81
Solano,2008,31.0,26.67
Solano,2008,72.0,60.38
Solano,2008,16.0,107.82
Solano,2008,14.0,40.52
Solano,2008,21.0,56.83
Solano,2008,25.0,64.8
Solano,2008,55.0,134.41
Solano,2008,54.0,45.39
Solano,2008,66.0,51.59
Solano,2009,45.0,271.08
Solano,2009,79.0,455.59
Solano,2009,99.0,179.32
Solano,2009,143.0,262.46
Solano,2009,13.0,91.61
Solano,2009,18.0,121.46
Solano,2009,14.0,31.93
Solano,2009,27.0,55.85
Solano,2009,27.0,56.59
Solano,2009,71.0,138.43
Solano,2009,58.0,49.25
Solano,2009,82.0,67.58
Solano,2009,20.0,55.35
Solano,2009,19.0,51.03
Solano,2009,26.0,70.12
Solano,2009,52.0,132.21
Solano,2009,60.0,53.05
Solano,2009,94.0,81.3
Solano,2010,63.0,376.79
Solano,2010,90.0,531.6
Solano,2010,101.0,190.43
Solano,2010,151.0,293.26
Solano,2010,30.0,187.62
Solano,2010,12.0,27.33
Solano,2010,31.0,65.31
Solano,2010,22.0,44.01
Solano,2010,54.0,101.5
Solano,2010,64.0,51.76
Solano,2010,98.0,75.77
Solano,2010,21.0,58.78
Solano,2010,29.0,78.17
Solano,2010,32.0,92.01
Solano,2010,73.0,195.13
Solano,2010,88.0,83.41
Solano,2010,112.0,103.25
Solano,2011,48.0,297.03
Solano,2011,85.0,510.82
Solano,2011,138.0,301.9
Solano,2011,144.0,300.7
Solano,2011,20.0,130.46
Solano,2011,16.0,35.86
Solano,2011,22.0,48.62
Solano,2011,23.0,48.46
Solano,2011,64.0,127.77
Solano,2011,56.0,45.51
Solano,2011,109.0,84.14
Solano,2011,20.0,132.71
Solano,2011,15.0,41.99
Solano,2011,22.0,58.99
Solano,2011,17.0,47.47
Solano,2011,47.0,119.84
Solano,2011,85.0,81.8
Solano,2011,102.0,97.22
Solano,2012,48.0,301.13
Solano,2012,96.0,605.3
Solano,2012,102.0,232.24
Solano,2012,156.0,329.38
Solano,2012,22.0,138.54
Solano,2012,20.0,46.42
Solano,2012,36.0,80.01
Solano,2012,24.0,53.72
Solano,2012,56.0,118.44
Solano,2012,70.0,57.02
Solano,2012,117.0,89.51
Solano,2012,13.0,85.92
Solano,2012,15.0,41.69
Solano,2012,26.0,69.35
Solano,2012,25.0,69.08
Solano,2012,53.0,133.74
Solano,2012,80.0,78.64
Solano,2012,82.0,77.99
Solano,2013,24.0,154.14
Solano,2013,83.0,529.0
Solano,2013,110.0,257.13
Solano,2013,158.0,342.36
Solano,2013,22.0,132.85
Solano,2013,20.0,44.29
Solano,2013,20.0,47.39
Solano,2013,47.0,103.98
Solano,2013,64.0,51.38
Solano,2013,112.0,84.59
Solano,2013,26.0,172.53
Solano,2013,23.0,60.44
Solano,2013,28.0,77.24
Solano,2013,52.0,129.9
Solano,2013,64.0,63.56
Solano,2013,76.0,73.82
Solano,2014,47.0,315.22
Solano,2014,88.0,566.65
Solano,2014,127.0,300.47
Solano,2014,171.0,381.25
Solano,2014,24.0,137.54
Solano,2014,20.0,48.75
Solano,2014,18.0,40.42
Solano,2014,29.0,71.75
Solano,2014,58.0,132.94
Solano,2014,69.0,55.09
Solano,2014,126.0,95.01
Solano,2014,21.0,138.52
Solano,2014,21.0,57.83
Solano,2014,21.0,54.17
Solano,2014,22.0,59.99
Solano,2014,47.0,115.2
Solano,2014,57.0,57.62
Solano,2014,114.0,111.45
Sonoma,2005,16.0,248.55
Sonoma,2005,46.0,81.06
Sonoma,2005,85.0,144.56
Sonoma,2005,33.0,26.73
Sonoma,2005,57.0,42.81
Sonoma,2005,19.0,220.42
Sonoma,2005,18.0,214.8
Sonoma,2005,19.0,97.77
Sonoma,2005,35.0,172.86
Sonoma,2005,49.0,71.79
