STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CYUC,YUCCA VALLEY CALIFORNIA,34.1233,-116.4078,993.6,2007,1977,,,13,,,,111,2504,,,63.3,77.7,49.0
USC00043761,HAPPY CAMP RANGER STATION,41.8042,-123.3758,341.4,2007,,0,0,,0,0.0,,,,,0.0,,,
USC00043882,HEARST CASTLE,35.6841,-121.1683,465.1,2007,,0,0,,0,0.0,2.80,,,14.80,0.0,,,
USR0000CELC,EL CARISO CALIFORNIA,33.6472,-117.4111,926.0,2007,2008,,,31,,,,110,1751,,,65.2,77.7,52.6
USW00023199,EL CENTRO NAF,32.81667,-115.68333,-12.8,2007,4204,,,21,,,0.94,116,,2.18,,73.5,89.1,58.0
USW00024286,CRESCENT CITY MCNAMARA AIRPORT,41.78028,-124.23667,17.1,2007,0,0,,26,0,,1.88,77,5241,49.49,,51.0,57.1,45.0
USW00024283,ARCATA EUREKA AIRPORT,40.97806,-124.10861,61.0,2007,1,,,23,,,2.67,78,5262,43.61,,50.7,58.2,43.2
USW00093241,VACAVILLE NUT TREE AIRPORT,38.3775,-121.9575,33.2,2007,,,,,,,1.05,,2328,11.67,,,,
USW00093242,MADERA MUNICIPAL AIRPORT,36.98778,-120.11056,77.1,2007,1583,,,20,,,0.77,109,2504,5.65,,62.4,77.2,47.7
USR0000CCHC,CHICO CALIFORNIA,39.7119,-121.7789,70.1,2007,1484,,,20,,,,106,2464,,,62.1,76.9,47.4
USW00093243,MERCED 23 WSW,37.2381,-120.8825,23.8,2007,873,,,12,,,0.49,107,2925,4.91,,59.3,76.4,42.2
USR0000CCHB,CHEESEBORO CALIFORNIA,34.1847,-118.7172,502.9,2007,,,,,,,,,1340,,,,,
USR0000CPAN,PANAMINT CALIFORNIA,36.1203,-117.0878,2097.0,2007,976,,,4,,,,99,4327,,,55.4,67.4,43.4
USS0020K31S,Css Lab,39.33,-120.37,2089.4,2007,15,163,,5,105,,3.70,87,7509,48.89,,44.2,55.4,32.9
USR0000CACT,ACTON CALIFORNIA,34.4458,-118.2,792.5,2007,1314,,,17,,,,110,2459,,,61.6,78.0,45.2
USR0000CBEU,BEAUMONT CALIFORNIA,33.9306,-116.95,793.7,2007,,,,,,,,,1931,,,,,
USR0000CTIM,TIMBER MOUNTAIN CALIFORNIA,41.6294,-121.2981,1511.8,2007,459,,,4,,,,102,5733,,,49.6,60.5,38.6
USC00043896,HEMET,33.7381,-116.8939,552.0,2007,1835,0,0,21,0,0.0,2.61,116,1599,5.42,0.0,65.6,83.4,47.9
USR0000CSHA,SHAVER CALIFORNIA,37.135,-119.2561,1751.4,2007,135,,,-2,,,,97,5991,,,48.7,65.9,31.5
USR0000CVND,VANDENBERG CALIFORNIA,34.7586,-120.4861,320.0,2007,216,,,28,,,,104,2703,,,57.7,67.7,47.7
USC00044500,KENTFIELD,37.9566,-122.5447,44.2,2007,,0,0,28,0,0.0,3.01,,2600,28.10,0.0,,,47.3
