Station Name,COOP ID,Lat.,Lon.,Elev. (f)
DRY CANYON RSVR,042516,34.48333,-118.53333,1455
DUDLEYS,042539,37.75,-120.1,3002
DUNLAP SHINGLE MILL,042559,36.71667,-119.11667,2001
DUNN SIDING,042570,35.05,-116.43333,1611
DUNNIGAN,042568,38.88333,-121.96667,49
DUNSMUIR RS,042572,41.21667,-122.26667,2421
DUNSMUIR TRTMNT PLT,042574,41.18333,-122.27361,2170
DUTTONS LANDING,042580,38.2,-122.3,20
EAGLE LAKE STONE RAN,042595,40.5,-120.65,5135
EAGLE MTN,042598,33.80889,-115.45083,973
EAST PARK RSVR,042640,39.35917,-122.51778,1205
EAST WHITTIER,042655,33.96667,-118.03333,220
ECHO SUMT SIER TAHOE,042671,38.78333,-120.03333,7350
EL CAJON,042706,32.81389,-116.975,405
EL CAJON 2 E,042705,32.78333,-116.91667,531
EL CAPITAN DAM,042709,32.88389,-116.81639,600
EL CENTRO 2 SSW,042713,32.76694,-115.56167,-30
EL GRANADA,042731,37.5,-122.45,161
EL MIRAGE,042771,34.58917,-117.63028,2950
EL MODENA,042775,33.8,-117.78333,459
ELECTRA P H,042728,38.33056,-120.67056,715
ELIZABETH LAKE CN FC,042735,34.6,-118.56667,2080
ELK VALLEY,042749,41.98806,-123.71833,1708
ELLERY LAKE,042756,37.93556,-119.23056,9645
ELLIOTT,040010,38.21778,-121.20139,87
ELSINORE,042805,33.66917,-117.33194,1285
ELSINORE 4 SE,042811,33.63333,-117.26667,1450
EMIGRANT GAP,042831,39.30333,-120.65083,5250
ESCONDIDO,042862,33.11667,-117.08333,659
ESCONDIDO #2,042863,33.12111,-117.08833,600
ETIWANDA,042895,34.13167,-117.52389,1390
ETNA,042899,41.45722,-122.89917,2950
EUREKA WFO WOODLEY ISLAND,042910,40.80972,-124.16028,20
EXCHEQUER DAM,042920,37.585,-120.26722,442
EXETER,042921,36.31667,-119.15,NaN
EXETER FAUVER RCH,042922,36.35,-119.06667,439
FAIRFIELD,042933,38.25,-122.05,20
FAIRFIELD,042934,38.27361,-122.06778,40
FAIRMONT,042941,34.705,-118.42972,3060
