County,Year,Average Temperature,Avg Max Temperature,Avg Min Temperature,Extreme Max Temp,Extreme Min Temp,Total Precipitation,Highest Daily Precipitation
Lake,2009,60.1,71.9,49.1,106.0,24.0,30.37,3.9
Lassen,2009,48.4,61.2,33.5,96.0,-10.0,8.65,1.51
Los Angeles,2009,63.8,75.8,53.1,104.0,32.0,10.17,1.6
Madera,2009,61.65,74.25,48.65,107.5,20.0,9.125,1.045
Marin,2009,57.65,67.8,47.2,103.0,28.0,36.65,5.69
Mariposa,2009,53.0,63.8,43.2,92.0,11.0,39.15,5.15
Mendocino,2009,56.8,69.3,43.45,104.5,20.0,29.445,2.165
Merced,2009,62.8,76.7,48.8,109.0,24.0,10.385,1.86
Modoc,2009,46.9,59.6,33.5,95.0,-6.5,14.75,0.9
Mono,2009,44.0,59.95,31.9,87.5,-4.0,25.18,2.9
Monterey,2009,58.0,70.8,46.45,100.0,27.5,15.55,2.36
Napa,2009,58.0,70.95,45.05,100.0,21.5,21.85,4.04
Nevada,2009,56.1,67.3,43.5,98.5,16.0,42.5,2.355
Orange,2009,65.6,76.8,55.5,105.0,35.0,7.12,1.3
Placer,2009,46.6,57.9,36.0,88.0,5.0,46.03,3.215
